fuel,year,l,season,hour,rate_PJ_yr,GW_continuous_equiv
td_output,2050,L30,Dry,6,4342.216778593239,137.69079079760397
td_output,2050,L31,Dry,7,4235.4163126465655,134.30417023866582
td_output,2050,L32,Dry,8,4502.549651110994,142.77491283330144
td_output,2050,L33,Dry,9,4725.282733832864,149.83773255431456
td_output,2050,L34,Dry,10,4826.19398424021,153.03760731355308
td_output,2050,L35,Dry,11,4892.122992274752,155.12820244402434
td_output,2050,L36,Dry,12,4741.072819304644,150.33843288003058
td_output,2050,L37,Dry,13,4845.59309441947,153.65274906200753
td_output,2050,L38,Dry,14,4952.284690129256,157.03591736838075
td_output,2050,L39,Dry,15,4901.356206422494,155.4209857439908
td_output,2050,L40,Dry,16,4883.310798656097,154.84876961745616
td_output,2050,L41,Dry,17,4925.24341328116,156.17844410455226
td_output,2050,L42,Dry,18,5449.510006224905,172.80282871083537
td_output,2050,L43,Dry,19,5588.490951789668,177.20988558440092
td_output,2050,L44,Dry,20,5504.489056268082,174.5462029511695
td_output,2050,L45,Dry,21,5318.26110589114,168.64095338315383
td_output,2050,L46,Dry,22,4971.19722399256,157.63562988307203
td_output,2050,L47,Dry,23,4667.408857938786,148.00256398841915
td_output,2050,L48,Dry,24,4451.474409028174,141.1553275313348
td_output,2050,L1,Wet,1,4292.5055227008215,136.11445721400372
td_output,2050,L2,Wet,2,4184.96779582167,132.70445826425893
td_output,2050,L3,Wet,3,4123.300841328174,130.7490119649979
td_output,2050,L4,Wet,4,4129.068819195021,130.93191334332258
td_output,2050,L5,Wet,5,4260.421731264559,135.09708686150935
td_output,2050,L6,Wet,6,4249.698411092832,134.7570526094886
td_output,2050,L7,Wet,7,4102.971029885225,130.10435787307284
td_output,2050,L8,Wet,8,4348.760009484192,137.89827528805782
td_output,2050,L9,Wet,9,4556.735283341701,144.4931279598459
td_output,2050,L10,Wet,10,4661.203987034986,147.80580882277354
td_output,2050,L11,Wet,11,4728.379936884679,149.9359442188191
td_output,2050,L12,Wet,12,4589.302804722313,145.52583728825195
td_output,2050,L13,Wet,13,4694.665011308714,148.86685094205714
td_output,2050,L14,Wet,14,4816.283352901364,152.7233432553705
td_output,2050,L15,Wet,15,4788.850829207598,151.85346363545148
td_output,2050,L16,Wet,16,4790.796735096526,151.91516790640938
td_output,2050,L17,Wet,17,4823.642964314105,152.95671500234982
td_output,2050,L18,Wet,18,5426.084766068131,172.06001921829437
td_output,2050,L19,Wet,19,5514.683052723199,174.8694524582445
td_output,2050,L20,Wet,20,5451.676411769725,172.8715249800141
td_output,2050,L21,Wet,21,5305.650933430945,168.24108743756167
td_output,2050,L22,Wet,22,4971.5266229743675,157.6460750562648
td_output,2050,L23,Wet,23,4675.45173710007,148.257602013574
td_output,2050,L24,Wet,24,4445.62007163452,140.96968771037925
