r,t,region_name,tech_name,cat,renew,peak_GW,first_GW,last_GW,n_dips,biggest_dip_GW,biggest_pos_delta_GW,pulse_ratio,monotone_increasing
R12,P2627,Myanmar,All Mines,Other,False,11.645795421101067,3.479946901617603,8.165848519483465,1,-3.479946901617602,8.165848519483465,,False
R12,P2516,Myanmar,Electricity,Other,False,8.59560454984113,2.813521634175962,5.7820829156651685,1,-2.813521634175962,5.7820829156651685,,False
R19,P2683,Philippines,LPG,Other,False,5.466452495172429,2.7458223284015504,2.6867939200709348,1,-2.7458223284015504,2.6867939200709348,1.9751261695814364,False
R12,P2641,Myanmar,Electricity,Other,False,8.174419926898914,2.6756590741013397,5.498760852797575,1,-2.675659074101339,5.498760852797574,,False
R15,P2510,Brunei,Gasoline,Other,False,5.102541539890656,2.610326068077125,2.470550241543267,1,-2.610326068077125,2.470550241543267,1.9826136780585035,False
R16,P2627,Singapore,All Mines,Other,False,5.697953837809475,2.3034009435920186,3.3945528942174565,1,-2.3034009435920186,3.3945528942174565,,False
R16,P2668,Singapore,Natural Gas,Other,False,4.077017774804085,2.0054709965359385,2.0502975144413265,1,-2.005470996535938,2.050297514441326,1.9794846401252064,False
R17,P16131,Malaysia,All Mines,Other,False,3.0523502984181885,3.0523502984181885,1.241424112268382,1,-1.8109261861498065,0.0,,False
R11,P2521,Thailand,Natural Gas,Other,False,14.17010688141061,14.17010688141061,13.224013683151277,1,-1.3787906530813974,0.4326974548220637,,False
R11,P2605,Thailand,Natural Gas,Other,False,14.17010688141061,14.17010688141061,13.224013683151277,1,-1.3787906530813974,0.4326974548220637,,False
R13,P2627,Laos,All Mines,Other,False,2.593879606547662,1.0654867067562979,1.5283928997913643,1,-1.0654867067562979,1.5283928997913643,,False
R6,P2683,Cambodia,LPG,Other,False,1.736985060613859,0.9549985710192511,0.7819864895946078,1,-0.9549985710192512,0.7819864895946079,,False
R15,P2668,Brunei,Natural Gas,Other,False,1.9129812404885822,0.9293531877048862,0.9836280527836959,1,-0.9293531877048863,0.983628052783696,,False
R15,P2521,Brunei,Natural Gas,Other,False,1.9408615746065228,0.9045061822594318,1.0501772010460872,1,-0.9045061822594318,0.9208671773040824,73.1062937187535,False
R13,P2683,Laos,LPG,Other,False,2.2788102771897294,0.9006560499547887,1.3781542272349407,1,-0.9006560499547887,1.3781542272349407,,False
R15,P2683,Brunei,LPG,Other,False,1.6528868156874608,0.8353293840246278,0.8159654310534611,1,-0.8353293840246278,0.8159654310534611,1.9961054708875094,False
R16,P2683,Singapore,LPG,Other,False,1.732692315379913,0.7618389999361534,0.9708533154437594,1,-0.7618389999361536,0.9708533154437595,,False
R14,P16131,Vietnam,All Mines,Other,False,3.120900899518429,0.7007956958104917,2.420105203707937,1,-0.7007956958104917,2.420105203707937,,False
R13,P2668,Laos,Natural Gas,Other,False,1.287307397962485,0.6778684075473442,0.5832621820829573,1,-0.6778684075473441,0.5832621820829572,1.9140953934885188,False
R6,P2668,Cambodia,Natural Gas,Other,False,0.775728820177838,0.4739906459941223,0.28467613749646115,1,-0.4739906459941222,0.2846761374964611,1.8869083321431763,False
