region,tech_name,year,capital_inv,fixed_OM,variable_OM,disc_capex,disc_opex,disc_salvage
Cambodia,Fuel Oil,2030,0.0000,3.6400,0.0000,0.0000,14.4283,0.0000
Cambodia,Fuel Oil,2035,0.0000,3.6100,0.0000,0.0000,10.2024,0.0000
Cambodia,Fuel Oil,2040,0.0000,0.0000,0.0000,0.0000,3.0803,0.0000
Cambodia,Gas Combined Cycle,2025,214.1593,4.3388,1.5422,214.1593,5.6854,0.0000
Cambodia,Gas Combined Cycle,2030,0.0000,27.0750,0.1490,0.0000,71.5597,0.0000
Cambodia,Gas Combined Cycle,2035,0.0000,27.0750,0.0240,0.0000,76.7365,0.0000
Cambodia,Gas Combined Cycle,2040,0.0000,27.0750,0.4862,0.0000,55.1381,0.0000
Cambodia,Gas Combined Cycle,2045,0.0000,27.0750,1.3837,0.0000,40.3351,0.0000
Cambodia,Gas Combined Cycle,2050,0.0000,27.0750,7.1350,0.0000,32.5265,0.0000
Cambodia,Gas Combined Cycle,2055,0.0000,22.8000,6.5360,0.0000,22.9449,0.0000
Cambodia,Gas Combined Cycle,2060,1295.9202,49.5609,14.7055,139.6046,25.6977,112.2381
Cambodia,Gas Combined Cycle with CCS,2025,97.8665,1.1731,0.0000,97.8665,1.1341,0.0000
Cambodia,Gas Combined Cycle with CCS,2030,0.0000,1.1538,0.0000,0.0000,4.5736,0.0000
Cambodia,Gas Combined Cycle with CCS,2035,0.0000,1.1523,0.0000,0.0000,3.2566,0.0000
Cambodia,Gas Combined Cycle with CCS,2040,0.0000,1.1508,0.0000,0.0000,2.3188,0.0000
Cambodia,Gas Combined Cycle with CCS,2045,0.0000,1.1492,0.0000,0.0000,1.6511,0.0000
Cambodia,Gas Combined Cycle with CCS,2050,0.0000,1.1477,0.0000,0.0000,1.1756,0.0000
Cambodia,Gas Combined Cycle with CCS,2055,0.0000,0.0000,0.0000,0.0000,0.3579,0.0000
Cambodia,Geothermal ORC,2025,1602.1301,4.4393,0.0000,1602.1301,4.2916,0.0000
Cambodia,Geothermal ORC,2030,0.0000,4.2617,0.0000,0.0000,16.8926,0.0000
Cambodia,Geothermal ORC,2035,0.0000,4.1729,0.0000,0.0000,11.7933,0.0000
Cambodia,Geothermal ORC,2040,0.0000,4.0841,0.0000,0.0000,8.2296,0.0000
Cambodia,Geothermal ORC,2045,0.0000,3.9954,0.0000,0.0000,5.7400,0.0000
Cambodia,Geothermal ORC,2050,0.0000,3.9066,0.0000,0.0000,4.0016,0.0000
