region,tech_name,output_fuel,year,capacity_GW,residual_GW,new_capacity_GW,production_PJ
Cambodia,Solar PV Rooftop,Electricity output from Energy Sector Own Use,2050,0.4500,0.4500,0.0000,2.7956
Cambodia,Solar PV Rooftop,Electricity output from Energy Sector Own Use,2055,0.4500,0.4500,0.0000,2.7956
Cambodia,Solar PV Rooftop,Electricity output from Energy Sector Own Use,2060,0.4500,0.4500,0.0000,2.7956
Cambodia,Wind Onshore,Electricity output from Centralized Electricity Generation,2025,0.0690,0.0000,0.0690,0.0000
Cambodia,Wind Onshore,Electricity output from Centralized Electricity Generation,2030,0.6190,0.5500,0.0000,0.0000
Cambodia,Wind Onshore,Electricity output from Centralized Electricity Generation,2035,0.6190,0.5500,0.0000,0.0000
Cambodia,Wind Onshore,Electricity output from Centralized Electricity Generation,2040,3.4180,3.3490,0.0000,0.0000
Cambodia,Wind Onshore,Electricity output from Centralized Electricity Generation,2045,3.3490,3.3490,0.0000,0.0000
Cambodia,Wind Onshore,Electricity output from Centralized Electricity Generation,2050,3.3490,3.3490,0.0000,0.0000
Cambodia,Wind Onshore,Electricity output from Centralized Electricity Generation,2055,3.3490,3.3490,0.0000,5.3081
Cambodia,Wind Onshore,Electricity output from Centralized Electricity Generation,2060,3.3490,3.3490,0.0000,4.1392
Indonesia,Biogas_IDJW,Electricity output from Centralized Electricity Generation,2025,0.0022,0.0022,0.0000,0.0000
Indonesia,Biogas_IDJW,Electricity output from Centralized Electricity Generation,2030,0.0022,0.0022,0.0000,0.0000
Indonesia,Biogas_IDJW,Electricity output from Centralized Electricity Generation,2035,0.0022,0.0022,0.0000,0.0000
Indonesia,Biogas_IDJW,Electricity output from Centralized Electricity Generation,2040,0.0022,0.0022,0.0000,0.0000
Indonesia,Biogas_IDJW,Electricity output from Centralized Electricity Generation,2045,0.0022,0.0022,0.0000,0.0544
Indonesia,Biogas_IDJW,Electricity output from Centralized Electricity Generation,2050,0.0022,0.0022,0.0000,0.0531
Indonesia,Biogas_IDJW,Electricity output from Centralized Electricity Generation,2055,0.0022,0.0022,0.0000,0.0531
Indonesia,Biogas_IDJW,Electricity output from Centralized Electricity Generation,2060,0.0022,0.0022,0.0000,0.0531
Indonesia,Biogas_IDKA,Electricity output from Centralized Electricity Generation,2025,0.0427,0.0427,0.0000,0.0000
Indonesia,Biogas_IDKA,Electricity output from Centralized Electricity Generation,2030,0.0537,0.0537,0.0000,0.0000
Indonesia,Biogas_IDKA,Electricity output from Centralized Electricity Generation,2035,0.0589,0.0589,0.0000,0.0000
Indonesia,Biogas_IDKA,Electricity output from Centralized Electricity Generation,2040,0.0589,0.0589,0.0000,0.0000
Indonesia,Biogas_IDKA,Electricity output from Centralized Electricity Generation,2045,0.0589,0.0589,0.0000,1.2378
Indonesia,Biogas_IDKA,Electricity output from Centralized Electricity Generation,2050,0.0589,0.0589,0.0000,1.3416
Indonesia,Biogas_IDKA,Electricity output from Centralized Electricity Generation,2055,0.0589,0.0589,0.0000,1.3416
Indonesia,Biogas_IDKA,Electricity output from Centralized Electricity Generation,2060,0.0589,0.0589,0.0000,1.4495
Indonesia,Biogas_IDSA,Electricity output from Centralized Electricity Generation,2025,0.1124,0.1124,0.0000,0.0000
Indonesia,Biogas_IDSA,Electricity output from Centralized Electricity Generation,2030,0.1284,0.1284,0.0000,0.0000
Indonesia,Biogas_IDSA,Electricity output from Centralized Electricity Generation,2035,0.1414,0.1414,0.0000,0.0000
Indonesia,Biogas_IDSA,Electricity output from Centralized Electricity Generation,2040,0.1414,0.1414,0.0000,0.0000
Indonesia,Biogas_IDSA,Electricity output from Centralized Electricity Generation,2045,0.1414,0.1414,0.0000,2.9731
Indonesia,Biogas_IDSA,Electricity output from Centralized Electricity Generation,2050,0.1414,0.1414,0.0000,3.2224
Indonesia,Biogas_IDSA,Electricity output from Centralized Electricity Generation,2055,0.1414,0.1414,0.0000,3.2224
Indonesia,Biogas_IDSA,Electricity output from Centralized Electricity Generation,2060,0.1414,0.1414,0.0000,3.4814
Indonesia,Biomass Other_IDEast,Electricity output from Centralized Electricity Generation,2025,0.0211,0.0211,0.0000,0.0000
Indonesia,Biomass Other_IDEast,Electricity output from Centralized Electricity Generation,2030,0.3471,0.3471,0.0000,0.0000
Indonesia,Biomass Other_IDEast,Electricity output from Centralized Electricity Generation,2035,0.3621,0.3621,0.0000,0.0000
Indonesia,Biomass Other_IDEast,Electricity output from Centralized Electricity Generation,2040,0.3621,0.3621,0.0000,0.0000
Indonesia,Biomass Other_IDEast,Electricity output from Centralized Electricity Generation,2045,0.3621,0.3621,0.0000,9.1345
Indonesia,Biomass Other_IDEast,Electricity output from Centralized Electricity Generation,2050,0.3621,0.3621,0.0000,9.1345
Indonesia,Biomass Other_IDEast,Electricity output from Centralized Electricity Generation,2055,0.3621,0.3621,0.0000,9.1345
Indonesia,Biomass Other_IDEast,Electricity output from Centralized Electricity Generation,2060,0.3621,0.3621,0.0000,9.1345
Indonesia,Biomass Other_IDJW,Electricity output from Centralized Electricity Generation,2025,0.1695,0.1695,0.0000,0.0000
Indonesia,Biomass Other_IDJW,Electricity output from Centralized Electricity Generation,2030,0.1695,0.1695,0.0000,0.0000
Indonesia,Biomass Other_IDJW,Electricity output from Centralized Electricity Generation,2035,0.1695,0.1695,0.0000,0.0000
Indonesia,Biomass Other_IDJW,Electricity output from Centralized Electricity Generation,2040,0.1695,0.1695,0.0000,0.0000
Indonesia,Biomass Other_IDJW,Electricity output from Centralized Electricity Generation,2045,0.1695,0.1695,0.0000,4.2775
Indonesia,Biomass Other_IDJW,Electricity output from Centralized Electricity Generation,2050,0.1695,0.1695,0.0000,4.2775
Indonesia,Biomass Other_IDJW,Electricity output from Centralized Electricity Generation,2055,0.1695,0.1695,0.0000,4.2775
Indonesia,Biomass Other_IDJW,Electricity output from Centralized Electricity Generation,2060,0.1695,0.1695,0.0000,4.2775
Indonesia,Biomass Other_IDKA,Electricity output from Centralized Electricity Generation,2025,0.4160,0.4160,0.0000,0.0000
Indonesia,Biomass Other_IDKA,Electricity output from Centralized Electricity Generation,2030,0.4430,0.4430,0.0000,0.0000
Indonesia,Biomass Other_IDKA,Electricity output from Centralized Electricity Generation,2035,0.4740,0.4740,0.0000,0.0000
Indonesia,Biomass Other_IDKA,Electricity output from Centralized Electricity Generation,2040,0.4740,0.4740,0.0000,0.0000
