branch_path,variable,units,scale,per
Demand\Commercial\Other Commercial\End Use Projection\Other\Natural Gas\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil,Activity Level,Share,%,of Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil,Commercial Fuel Share_,%,,
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil,Final Energy Intensity,Kilowatt-Hour,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil\Ammonia,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil\Carbon Dioxide Biogenic,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Residual Fuel Oil\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood,Activity Level,Share,%,of Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood,Commercial Fuel Share_,%,,
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood,Final Energy Intensity,Kilowatt-Hour,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood\Carbon Dioxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood\Carbon Dioxide Biogenic,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Other\Wood\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\End Use Projection\Refrigeration,Activity Level,Saturation,%,of Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Refrigeration,Commercial Uncalibrated Energy Intensity,kWh/m2,,
Demand\Commercial\Other Commercial\End Use Projection\Refrigeration,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Refrigeration,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\End Use Projection\Refrigeration\Efficient,Activity Level,Share,%,of Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Refrigeration\Efficient,Commercial Fuel Share_,%,,
Demand\Commercial\Other Commercial\End Use Projection\Refrigeration\Efficient,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Refrigeration\Efficient,Final Energy Intensity,Kilowatt-Hour,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Refrigeration\Efficient,Load Shape,Percent,%,
Demand\Commercial\Other Commercial\End Use Projection\Refrigeration\Efficient,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\End Use Projection\Refrigeration\Existing,Activity Level,Share,%,of Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Refrigeration\Existing,Commercial Fuel Share_,%,,
Demand\Commercial\Other Commercial\End Use Projection\Refrigeration\Existing,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Refrigeration\Existing,Final Energy Intensity,Kilowatt-Hour,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Refrigeration\Existing,Load Shape,Percent,%,
Demand\Commercial\Other Commercial\End Use Projection\Refrigeration\Existing,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\End Use Projection\Water Heating,Activity Level,Saturation,%,of Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Water Heating,Commercial Uncalibrated Energy Intensity,kWh/m2,,
Demand\Commercial\Other Commercial\End Use Projection\Water Heating,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Water Heating,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Existing,Activity Level,Share,%,of Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Existing,Commercial Fuel Share_,%,,
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Existing,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Existing,Final Energy Intensity,Kilowatt-Hour,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Existing,Load Shape,Percent,%,
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Existing,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Heat Pump,Activity Level,Share,%,of Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Heat Pump,Commercial Fuel Share_,%,,
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Heat Pump,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Heat Pump,Final Energy Intensity,Kilowatt-Hour,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Heat Pump,Load Shape,Percent,%,
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Heat Pump,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Heat Pump Outside Air,Activity Level,Share,%,of Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Heat Pump Outside Air,Commercial Fuel Share_,%,,
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Heat Pump Outside Air,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Heat Pump Outside Air,Final Energy Intensity,Kilowatt-Hour,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Heat Pump Outside Air,Load Shape,Percent,%,
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Heat Pump Outside Air,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Solar Heating,Activity Level,Share,%,of Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Solar Heating,Commercial Fuel Share_,%,,
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Solar Heating,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Solar Heating,Final Energy Intensity,Kilowatt-Hour,,Square Meter
Demand\Commercial\Other Commercial\End Use Projection\Water Heating\Solar Heating,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical,Activity Level,Saturation,%,of Square Meter
Demand\Commercial\Other Commercial\Historical,Demand Cost,U.S. Dollar,,Square Meter
Demand\Commercial\Other Commercial\Historical,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,Square Meter
Demand\Commercial\Other Commercial\Historical,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical,TotalEnergy,TOE,Thousand,
Demand\Commercial\Other Commercial\Historical\Biodiesel,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\Historical\Biodiesel,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,Square Meter
Demand\Commercial\Other Commercial\Historical\Biodiesel,Fuel Share,Share,%,
Demand\Commercial\Other Commercial\Historical\Biodiesel,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical\Biodiesel,UnscaledFuelShare,%,,
Demand\Commercial\Other Commercial\Historical\Biodiesel\Ammonia,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Biodiesel\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biodiesel\Carbon Dioxide Biogenic,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biodiesel\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biodiesel\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biodiesel\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biodiesel\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biodiesel\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biodiesel\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biodiesel\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biodiesel\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biodiesel\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Commercial\Other Commercial\Historical\Biomass,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\Historical\Biomass,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,Square Meter
Demand\Commercial\Other Commercial\Historical\Biomass,Fuel Share,Share,%,
Demand\Commercial\Other Commercial\Historical\Biomass,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical\Biomass,UnscaledFuelShare,%,,
Demand\Commercial\Other Commercial\Historical\Biomass\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biomass\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biomass\Carbon Dioxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biomass\Carbon Dioxide Biogenic,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biomass\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biomass\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biomass\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biomass\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biomass\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biomass\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biomass\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biomass\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Biomass\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Briquette,Demand Cost,2020 USD,,Square Meter
Demand\Commercial\Other Commercial\Historical\Briquette,Final Energy Intensity,Tonnes of Oil Equivalent,Thousand,Square Meter
Demand\Commercial\Other Commercial\Historical\Briquette,Fuel Share,Share,%,
Demand\Commercial\Other Commercial\Historical\Briquette,RefHH,Ref/hh,,
Demand\Commercial\Other Commercial\Historical\Briquette,UnscaledFuelShare,%,,
Demand\Commercial\Other Commercial\Historical\Briquette\Ammonia,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Briquette\Black Carbon,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Briquette\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Briquette\Carbon Dioxide Biogenic,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Commercial\Other Commercial\Historical\Briquette\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Briquette\Methane,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Briquette\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Briquette\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Briquette\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Briquette\Organic Carbon,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Briquette\Particulates PM10,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Commercial\Other Commercial\Historical\Briquette\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Metric Tonne
