branch_path,variable,units,scale,per
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Feedstock Fuels\Methanol,Feedstock Fuel Share,2020 USD,,Metric Tonne
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Feedstock Fuels\Methanol,Fuel Cost,2020 USD,,Metric Tonne
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Feedstock Fuels\Methanol,Fuel Source,2020 USD,,Metric Tonne
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Feedstock Fuels\Palm Oil,Feedstock Fuel Share,U.S. Dollar,,Gigajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Feedstock Fuels\Palm Oil,Fuel Cost,U.S. Dollar,,Gigajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Feedstock Fuels\Palm Oil,Fuel Source,U.S. Dollar,,Gigajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Feedstock Fuels\Palm Oil\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Feedstock Fuels\Palm Oil\Carbon Dioxide,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Feedstock Fuels\Palm Oil\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Feedstock Fuels\Palm Oil\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Feedstock Fuels\Palm Oil\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\FAME Biodiesel\Feedstock Fuels\Palm Oil\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Terajoule
Transformation\Biodiesel Production\Processes\POME Biodiesel,Capacity Credit,Percent,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Capital Cost,2020 USD,,Gigajoules/Year
Transformation\Biodiesel Production\Processes\POME Biodiesel,Dispatch Rule,None,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Dispatchable,Yes/No,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Endogenous Capacity,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Exogenous Capacity,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\POME Biodiesel,First Simulation Year,Years,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Fixed OM Cost,2020 USD,,Gigajoules/Year
Transformation\Biodiesel Production\Processes\POME Biodiesel,Historical Production,Tonnes of Oil Equivalent,Thousand,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Interest Rate,Percent,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Lifetime,Years,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Maximum Availability,Percent,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Maximum Capacity,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Maximum Capacity Addition,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Maximum Production,Gigajoule,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Maximum_Share_of_Production,%,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Merit Order,Merit Order,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Minimum Capacity,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Minimum Capacity Addition,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Minimum Production,Gigajoule,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Minimum Share of Production,Percent,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Minimum Utilization,Percent,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Optimized New Capacity,Gigajoules/Year,Million,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Process Efficiency,Percent,,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Process Share,Share,%,
Transformation\Biodiesel Production\Processes\POME Biodiesel,Renewable Qualified,Percent,,
