domain,scenario,sector,layer,fuel,carrier,region,year,value,unit,value_pj,confident_carrier,branch_leaf,branch_path
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Thailand,2050,85.58066201487534,PJ,85.58066201487534,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Thailand,2060,117.90398462310053,PJ,117.90398462310053,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Vietnam,2010,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Vietnam,2020,0.0,PJ,0.0,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Vietnam,2030,30.107108999107904,PJ,30.107108999107904,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Vietnam,2040,47.88747815164703,PJ,47.88747815164703,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Vietnam,2050,70.94449221071655,PJ,70.94449221071655,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,Coal bituminous,thermal,Vietnam,2060,103.97036835984328,PJ,103.97036835984328,True,Coal bituminous,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\Coal bituminous
demand,Baseline Simulation,Industry,Projection,LNG,thermal,Brunei,2010,0.0,PJ,0.0,True,LNG,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\LNG
demand,Baseline Simulation,Industry,Projection,LNG,thermal,Brunei,2020,0.0,PJ,0.0,True,LNG,Demand\Industry\Projection\End Use\Pulp and Paper\Indirect Process Heating\Others\LNG
