branch_path,variable,units,scale,per
Demand\Industry\Projection\End Use\Chemical\Direct Process Heating\Others\Wood\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Direct Process Heating\Others\Wood\Carbon Dioxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Direct Process Heating\Others\Wood\Carbon Dioxide Biogenic,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Direct Process Heating\Others\Wood\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Direct Process Heating\Others\Wood\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Direct Process Heating\Others\Wood\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Direct Process Heating\Others\Wood\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Direct Process Heating\Others\Wood\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Direct Process Heating\Others\Wood\Organic Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Direct Process Heating\Others\Wood\Particulates PM10,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Direct Process Heating\Others\Wood\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Direct Process Heating\Others\Wood\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating,Activity Level,Saturation,%,of 2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating,Demand Cost,2020 USD,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating,RefHH,Ref/hh,,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Electricity,Activity Level,Saturation,%,of 2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Electricity,Demand Cost,2020 USD,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Electricity,Final Energy Intensity,Gigajoule,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Electricity,RefHH,Ref/hh,,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Electricity\Electricity,Demand Cost,2020 USD,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Electricity\Electricity,Final Energy Intensity,Gigajoule,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Electricity\Electricity,Fuel Share,Share,%,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Electricity\Electricity,Load Shape,Percent,%,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Electricity\Electricity,RefHH,Ref/hh,,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF,Activity Level,Saturation,%,of 2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF,Demand Cost,2020 USD,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF,Final Energy Intensity,Gigajoule,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF,RefHH,Ref/hh,,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Biodiesel,Demand Cost,2020 USD,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Biodiesel,Final Energy Intensity,Gigajoule,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Biodiesel,Fuel Share,Share,%,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Biodiesel,RefHH,Ref/hh,,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Biodiesel\Ammonia,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Biodiesel\Black Carbon,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Biodiesel\Carbon Dioxide Biogenic,Avg Environmental Loading,Metric Tonne,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Biodiesel\Carbon Monoxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Biodiesel\Methane,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Biodiesel\Nitrogen Oxides,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Biodiesel\Nitrous Oxide,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Biodiesel\Non Methane Volatile Organic Compounds,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Biodiesel\Organic Carbon,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Biodiesel\Particulates PM10,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Biodiesel\Particulates PM2pt5,Avg Environmental Loading,Kilogramme,,Metric Tonne
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Biodiesel\Sulfur Dioxide,Avg Environmental Loading,Kilogramme,,Kilogramme
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel,Demand Cost,2020 USD,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel,Final Energy Intensity,Gigajoule,,2017 USD
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel,Fuel Share,Share,%,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel,RefHH,Ref/hh,,
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel\Ammonia,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel\Black Carbon,Avg Environmental Loading,Kilogramme,,Terajoule
Demand\Industry\Projection\End Use\Chemical\Indirect Process Heating\Liquid FF\Diesel\Carbon Dioxide,Avg Environmental Loading,Metric Tonne,,Terajoule
