ams,branch,branch_type,variable,year,value,unit,unit_source
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Power Generation,2045,270798.76859897544,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Power Generation,2050,241137.49559921186,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Curtailed Energy Production,2045,105.79945700017191,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical,Transformation Process,Curtailed Energy Production,2050,423.19782800068765,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Energy Generation,2045,100.71275516777243,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Energy Generation,2050,402.8510206710897,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Energy Generation,2055,93.61918273584905,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Energy Generation,2060,93.61918273584905,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Power Generation,2045,95.42726296117321,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Power Generation,2050,73.40558689321017,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Curtailed Energy Production,2045,104.64239955022245,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Curtailed Energy Production,2050,418.5695982008898,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Curtailed Energy Production,2055,1233.798181132076,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Supercritical CCS,Transformation Process,Curtailed Energy Production,2060,1233.798181132076,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Energy Generation,2045,116.46471376791303,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Energy Generation,2050,465.8588550716521,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Energy Generation,2055,2817.4778020754707,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Energy Generation,2060,2817.4778020754707,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Power Generation,2045,94.38363921613518,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Power Generation,2050,72.60279939702706,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Power Generation,2055,941.6347718400004,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Power Generation,2060,941.6347718400004,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Curtailed Energy Production,2045,124.11463026658333,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Curtailed Energy Production,2050,496.45852106633333,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Curtailed Energy Production,2055,4262.373585849054,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal Ultrasupercritical CCS,Transformation Process,Curtailed Energy Production,2060,4262.373585849054,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Existing Capacity,2025,254.0,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Existing Capacity,2030,254.0,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Existing Capacity,2035,254.0,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Existing Capacity,2040,254.0,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Existing Capacity,2045,254.0,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Existing Capacity,2050,254.0,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Existing Capacity,2055,254.0,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Existing Capacity,2060,254.0,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Energy Generation,2045,129.15372189203663,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Energy Generation,2050,516.6148875681465,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Energy Generation,2055,5378.581349716983,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Energy Generation,2060,5378.581349716983,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Power Generation,2045,111.94688324117573,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Power Generation,2050,86.11298710859671,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Power Generation,2055,3253.0435207199976,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Power Generation,2060,3253.0435207199976,Megawatt,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Curtailed Energy Production,2045,132.0771180196981,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Curtailed Energy Production,2050,528.3084720787924,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Curtailed Energy Production,2055,5900.051812358495,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC,Transformation Process,Curtailed Energy Production,2060,5900.051812358495,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Energy Generation,2045,135.2042541968094,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Energy Generation,2050,540.8170167872375,Gigajoule,inferred
Brunei,Transformation\Centralized Electricity Generation\Processes\Coal IGCC with CCS,Transformation Process,Energy Generation,2055,6111.075429622641,Gigajoule,inferred
